CODE,Country
AUS,Australia
AUT,Austria
BEL,Belgium
CAN,Canada
CHL,Chile
COL,Colombia
CZE,Czech Republic
DNK,Denmark
EST,Estonia
FIN,Finland
FRA,France
G7M,G7
DEU,Germany
GRC,Greece
HUN,Hungary
ISL,Iceland
IRL,Ireland
ISR,Israel
ITA,Italy
JPN,Japan
KOR,Korea
LVA,Latvia
LTU,Lithuania
LUX,Luxembourg
MEX,Mexico
NLD,Netherlands
NZL,New Zealand
NOR,Norway
POL,Poland
PRT,Portugal
SVK,Slovak Republic
SVN,Slovenia
ESP,Spain
SWE,Sweden
CHE,Switzerland
TUR,Türkiye
GBR,United Kingdom
USA,United States
